method,alpha,n_obs,n_breaches,hit_rate,expected_rate,kupiec_stat,kupiec_pval,chris_stat,chris_pval,es_shortfall_ratio,pinball_loss
hs,0.01,4327,53,0.012248671134735382,0.01,2.0623474153263714,0.15097743386456064,17.121392451884162,3.5065114603161085e-05,1.1692781909483343,0.000237738839359154
hs,0.05,4327,220,0.05084354055927895,0.05,0.064476991154379,0.7995548915867833,2.9357017983356855,0.0866410022154227,1.0043531410699436,0.0007033534549560524
ewma,0.01,4327,73,0.016870811185578923,0.01,17.10479502499686,3.537288502564184e-05,10.116108240140647,0.0014697902710896216,1.188151860896485,0.00020971574261366608
ewma,0.05,4327,206,0.04760804252368847,0.05,0.5292631761233224,0.4669168003315316,9.2180861157467,0.002396359231630951,1.1356460177304415,0.0006654717934118724
dcc,0.01,4327,62,0.014328634157614976,0.01,7.221692899227946,0.007202774657064537,9.622915476771482,0.0019216443366499858,1.100995069505461,0.00019389673209865114
dcc,0.05,4327,180,0.041599260457591866,0.05,6.801873827590498,0.00910622521029103,3.679975267097234,0.05506966700935367,1.0850090631945912,0.0006540160301393696
static_vine,0.01,4327,45,0.010399815114397967,0.01,0.06896295890595638,0.7928527373709319,0.4671733739775732,0.4942904308195868,1.0186143685955833,0.00018856980978629564
static_vine,0.05,4327,194,0.044834758493182345,0.05,2.514048110840122,0.11283574891750492,2.048158929402689,0.15239037264038646,1.0127207037861174,0.0006574845453767014
gas_vine,0.01,4327,55,0.012710885139819737,0.01,2.958248648847757,0.08544043957419989,7.762986018017273,0.005332772505229899,1.0485770739875293,0.0001909723689229874
gas_vine,0.05,4327,233,0.053847931592327244,0.05,1.3172311963580796,0.25108956952091566,0.5063404865004486,0.47672733714215254,1.0209654284015037,0.0006535515259950825
